ValueDate,stranaNodeName,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limmaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limminalue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-01-01,a,-37437,57655,0,23982,37853,62414,83250,13812,-85145,-46376,43380,-89918,23426,89346,40857,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-02,a,-64689,-32812,0,-82076,-60190,87317,-68134,66195,-68089,-80168,93761,-48973,35095,-96585,-17195,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-03,a,-10649,-71857,1,-84554,40524,-68936,-83221,5969,6488,2376,-36257,67853,-52966,-26152,-2915,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-04,a,-87870,-54814,0,-42243,-95305,82182,74882,-18903,-61567,-25963,-45161,-63351,53920,29614,-89210,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-05,a,85449,75530,0,36907,-77258,19880,-76147,-33671,68997,-82849,4119,-56811,-90474,57375,67998,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-06,a,-36625,39542,1,27941,-51154,16034,32452,99866,-10022,30325,-43642,-61401,67549,32667,55651,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-07,a,25689,46161,0,48027,64870,62236,39742,64304,-61898,33284,-10852,-49277,-94062,31426,-46073,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-08,a,96109,93433,0,56146,21622,31853,37374,-11391,-7075,-78596,-4319,90360,82767,25127,-37060,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-09,a,95240,-91567,1,55125,-4445,17108,56653,-80603,-6853,-35810,30315,97306,77449,25025,-31275,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-10,a,-84541,27960,0,-82629,56465,70331,-53521,27118,-8282,95103,29178,77356,41237,49097,28352,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-11,a,35099,-27758,0.4,-52809,-73673,97041,-95197,58785,5466,6038,-22071,-28565,92962,-66819,-7752,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-12,a,90701,-71579,0.4181818182,39288,28471,-74838,-1073,32941,29196,14179,67843,24889,41094,73258,-87511,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-13,a,9999999999,-77707,0.4363636364,-52930,71199,48278,-6522,-16033,80914,-53271,78637,-93717,-72521,-37769,49808,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
