ValueDate,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limMaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limMinValue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-01-01,10789,5482,0,-22860,92958,42267,-27770,42748,75918,69583,71482,38195,57552,87830,-25592,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-02,10897,87991,0,29033,-80219,41974,52482,-71226,55621,16344,-35605,-85009,-68130,-76827,48645,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-03,-22244,-56047,0,50343,50862,47460,-7015,-3768,-53340,88709,-67251,23636,-11789,55349,11009,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-04,36876,-50880,0,15390,-38863,-35333,19302,18612,-61860,-50589,53459,-2803,18117,-74455,-38560,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-05,2843,-72294,0,32177,-12973,39932,48613,-6016,4143,-22012,43649,10272,-9262,-95476,39927,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-06,49810,63699,0,-54862,-84717,12326,-72866,-90669,23473,-33034,66440,58139,32367,-30744,91646,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-07,69969,49813,0,-6081,97952,-80341,-20698,18355,35212,8344,10232,-81259,-4322,96714,-41176,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-08,54845,-39041,0,15577,69528,48428,75395,40151,87777,-73911,-28413,-88488,17599,-19174,4184,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-09,-2027,-4224,0,-79797,7623,26763,54478,-18182,92953,7205,68634,-75351,48835,-97381,56074,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-10,-47327,-50235,0,52439,89222,57356,-20659,66386,55309,-23300,-24760,-19866,-43567,-44866,-21785,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
